"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Belgium","BEL","2008","7.378",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Belgium","BEL","2006","9.303",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Belgium","BEL","2002","11.482",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Belgium","BEL","2001","14.219",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Belgium","BEL","2000","12.002",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Belize","BLZ","2015","19.444",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Benin","BEN","2015","55.069",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Benin","BEN","2014","18.519",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Benin","BEN","2011","22.792",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bermuda","BMU","2018","33.333",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bermuda","BMU","2017","9.091",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bermuda","BMU","2015","28.571",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bermuda","BMU","2012","66.667",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bermuda","BMU","2011","40.000",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bermuda","BMU","2010","33.333",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bermuda","BMU","2009","45.455",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bermuda","BMU","2007","62.500",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bermuda","BMU","2005","50.000",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bermuda","BMU","2001","33.333",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bosnia and Herzegovina","BIH","2018","28.178",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bosnia and Herzegovina","BIH","2017","27.042",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bosnia and Herzegovina","BIH","2016","18.056",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bosnia and Herzegovina","BIH","2015","27.680",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2017","14.551",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2016","14.626",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2015","15.011",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2014","15.291",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2012","17.335",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2011","16.972",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2010","18.260",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2009","18.397",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2008","18.797",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2007","19.830",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2005","23.034",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2004","24.188",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2003","26.684",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2002","28.743",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brazil","BRA","2001","32.104",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","British Virgin Islands","VGB","2009","63.636",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2018","41.860",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2016","45.792",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2015","44.018",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2012","54.255",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2011","87.500",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2010","53.623",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2009","58.065",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2008","62.651",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2007","46.032",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2006","71.739",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2005","51.786",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2004","44.444",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2003","72.727",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2001","65.625",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","2000","71.053",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Brunei Darussalam","BRN","1999","62.963",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2017","38.740",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2016","40.046",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2015","39.039",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2014","37.907",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2013","41.350",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2012","39.041",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2011","39.728",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2010","40.670",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2009","45.004",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2008","46.491",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2007","49.862",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2005","46.970",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2004","51.913",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2003","51.220",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2002","46.895",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2001","60.032",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","2000","69.518",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Bulgaria","BGR","1999","61.330",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Burkina Faso","BFA","2016","28.571",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Burkina Faso","BFA","2015","29.545",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Burkina Faso","BFA","2014","0.000",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Burkina Faso","BFA","2012","9.659",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Burkina Faso","BFA","2011","9.653",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Burundi","BDI","2017","26.553",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Burundi","BDI","2016","29.081",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Burundi","BDI","2010","28.369",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cabo Verde","CPV","2018","44.000",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cabo Verde","CPV","2017","38.462",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cabo Verde","CPV","2016","37.500",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cambodia","KHM","2015","8.440",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cambodia","KHM","2008","9.099",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cambodia","KHM","2007","10.433",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cambodia","KHM","2004","11.297",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cambodia","KHM","2002","12.551",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cambodia","KHM","2001","17.073",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cambodia","KHM","2000","28.889",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Canada","CAN","2016","29.968",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Canada","CAN","2015","29.626",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Canada","CAN","2014","29.615",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Canada","CAN","2013","17.301",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Canada","CAN","1998","24.327",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cayman Islands","CYM","2008","20.000",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cayman Islands","CYM","2007","34.615",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Cayman Islands","CYM","2006","50.000",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2017","12.744",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2016","12.944",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2015","12.544",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2014","11.664",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2013","42.915",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2012","11.553",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2010","14.247",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2009","16.047",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2008","16.168",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2007","20.237",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2006","26.099",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Chile","CHL","2004","26.480",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Colombia","COL","2018","23.307",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Colombia","COL","2017","25.063",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Colombia","COL","2016","26.990",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Colombia","COL","2015","27.906",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Colombia","COL","2014","31.069",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Colombia","COL","2012","37.160",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Colombia","COL","2011","38.111",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Congo, Dem. Rep.","COD","2016","36.645",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Congo, Rep.","COG","2017","26.702",""
"Female share of graduates in Information and Communication Technologies programmes, tertiary (%)","UIS.FGP.5T8.F600","Costa Rica","CRI","2018","20.290",""
